Feature,Value
bq3,0.008362899054147308
bq26,0.008065922644137935
bq31_2,0.008027791380396502
bq7,0.007823753906999908
bq30,0.007781730587900147
bq31_1,0.007723928833461916
kq5_2,0.007417315684104707
sq16,0.007271313868659699
bq6,0.007221631174679694
kq5_1,0.0072145164423697864
kq13_2,0.007191294808028876
bq17,0.007128079718394641
kq29_1,0.007080348454144663
sq15,0.007072882989597521
kq9_2,0.006933120284212356
kq13_1,0.006915768595213628
bq14_5,0.006907775851086765
kq29_2,0.006905344506274643
bq21_3,0.006900325657319917
kq32_2,0.006871194057063352
bq14_4,0.006870723078294006
bq21_1,0.006858024291899482
kq31_2,0.006824531992931558
bq16_1,0.006821925814558169
sq4,0.00681626395811269
bq14_2,0.006815245932968259
bq21_2,0.0068083595045191365
sq14,0.006807676197572903
bq20,0.006776707121667417
kq2_2,0.0067619358486778565
bq14_1,0.0067399866123434935
kq14_2,0.00672170638042648
bq14_3,0.006704453416839585
bq27,0.006696973287927044
kq31_1,0.006675960340550365
kq23_2,0.006672386267668004
kq14_1,0.006622523834117824
kq23_1,0.00659779478999201
kq32_1,0.006597427965173171
kq2_1,0.006594515557901363
bq16_2,0.006568299460516454
bq5_1,0.006537945357848186
kq30_2,0.0065316619537542754
bq19,0.006512480919896923
bq4,0.006511501477978074
sq6,0.006502914582178892
sq13,0.006498743201421779
sq1,0.006498075218491858
bq8_3,0.006488448925155163
kq4_1,0.006487993107395736
sq7,0.0064860695850605145
kq25_2,0.006473586348742541
kq9_1,0.006465776133082121
bq15,0.006453259698652315
sq9,0.006419354087646068
kq18_2,0.006412858298063384
bq8_2,0.006412576291956049
bq13_1,0.006409461113658269
sq12,0.0063915734590757915
bq8_1,0.006387006909980745
sq10,0.006386316944983077
sq5,0.0063857173501785285
sq8,0.006368480011338072
sq11,0.006362560674029085
kq24_2,0.006356005857426752
sq2,0.0062876707937095
bq16_3,0.006278833249096456
bq11,0.0062788202134093935
kq1_2,0.006266631812251898
bq13_2,0.006251814604043138
kq30_1,0.006245972681197681
bq13_3,0.006239374119786545
bq10,0.006227871433407209
bq16_5,0.0061931923912841155
kq4_2,0.006160950219354396
kq25_1,0.006152633520434551
kq22_1,0.006146009870023201
sq3,0.006120484739853095
kq24_1,0.006114868701421863
bq12_1,0.006105476927596476
bq9,0.006100376486775672
kq18_1,0.006088061739572922
kq22_2,0.006068468785933164
kq3_2,0.005949191898170905
kq1_1,0.0059298586856040055
bq16_4,0.0058917921766859
kq7_1,0.005733786220831068
bq12_5,0.005732840944201709
bq5,0.005707176660759602
kq10_2,0.005699173011788505
kq3_1,0.005668653049481168
kq10_1,0.0056554868883590915
kq7_2,0.00554489897037067
bef_job_0,0.005529315576166233
bq25,0.005464673639008706
bq12_4,0.005449847709181584
kq11_2,0.005423984323835089
kq11_1,0.005402941300319339
kq19_2,0.005375787794942865
kq6_1,0.005355495108924114
kq6_2,0.005347928496220715
bq12_2,0.005262268287634501
kq15_2,0.005254868579482151
bq12_3,0.005243777764624716
kq19_1,0.005199552709691345
kq33_2,0.00517788992079675
kq15_1,0.005104337618406383
kq16_2,0.004994526130793954
kq33_1,0.004972696895566764
kq16_1,0.004808146745733914
kq21_1,0.004794325384000431
kq26_2,0.004788767677995472
kq20_2,0.004728261622274393
bq2_1,0.004693479983276388
able_job_0,0.004586419001668719
kq21_2,0.004565585051866277
kq26_1,0.004525389045285631
bq6_mark_1,0.004469282592222078
kq20_1,0.004439299831485827
bq18_3,0.00421642398075949
kq17_2,0.004124838053440175
kq27_1,0.003962745856439698
kq17_1,0.003936191529976986
kq28_1,0.0038413735741054996
kq12_2,0.0037508495140986735
bq29,0.0037413530873028895
bq18_6,0.003717745921199838
bq18_2,0.0037026716408950534
kq12_1,0.0036543208621006174
bq1_3,0.0035338687812972187
bq28_1_1,0.0033647598502684803
kq27_2,0.003156971315168912
bq2_2,0.0031495334907502377
kq8_2,0.0031458715147982745
bq18_5,0.003135175427281731
kq8_1,0.003106912931055099
bq18_4,0.0030339365830809643
kq28_2,0.0028003810898257426
bq18_1,0.0027947832728592126
bq1_13,0.002758953472186502
bq1_19,0.0026697988118909617
교육_1,0.0025308287363929416
bq18_7,0.002529511530703366
bq12_2_mark_1,0.0025105432808263154
bq1_10,0.00249665067341321
bq1_18,0.002495582365180966
ubda_cnt,0.0023713115803672105
bq18_8,0.0023661215640054605
bq1_15,0.0023500109124616145
bq18_9,0.002255073796612127
bq1_17,0.002249416083312859
bq2_4,0.0022092836902021765
bq28_1_3,0.0021742077020844037
bq12_3_mark_1,0.0021697400580021897
bq1_8,0.00215503253531677
bq1_6,0.002096470683471727
bq31_3,0.0020896087631336515
bq28_2,0.002037210709340106
자동화_0,0.0020310660312804125
bq12_4_mark_0,0.001898700349027523
bq1_9,0.0018403410745071376
기계_1,0.001812489064076024
변화_0,0.001804322841872799
장비_0,0.0017995539577527987
bq1_16,0.0017867420731191561
bq1_11,0.001704465911229286
프로그램_0,0.001666579566017048
기술_0,0.0016620040600728902
bq1_7,0.0016510708700412616
major_0,0.001557081079013683
bq2_5,0.0015513774275343977
자격증_0,0.00142944408457288
시스템_0,0.0013887493635802034
bq2_3,0.0013823382380749405
bq28_2_6,0.0012862603175296623
개발_0,0.0012038869360931808
bq28_1_2,0.0011746857468207296
bq28_2_5,0.0011644033674639033
인구_0,0.0011424728728184866
bq28_1_4,0.0010801588941555427
안전교육_0,0.001039441159649725
경기_1,0.001001923377408597
bq1_1,0.0009705489960538325
bq1_4,0.0009143737368589074
major_인문계,0.0008896578578507155
bq1_14,0.0008777755510401194
컴퓨터_0,0.0008643267432027739
major_경영학,0.0008274152320996207
major_기계,0.0007808173641797766
전기기사_1,0.0007123041916716174
전산_1,0.0007004640252464848
bq1_2,0.0006883929245938707
관리_1,0.000680398008313133
기계화_1,0.0006791564702573753
major_문과,0.000658121143273385
